DIV_NAME,SCHOOL_YEAR,AvgOfAVG_SOL_SCALE_SCORE,Subject
Clarke County,2011-2012,481.11,English (Writing)
Clarke County,2012-2013,455.65,English (Writing)
Clarke County,2013-2014,435.17,English (Writing)
Clarke County,2014-2015,445.67,English (Writing)
Clarke County,2015-2016,448.22,English (Writing)
Clarke County,2011-2012,454.49,History
Clarke County,2012-2013,428.74,History
Clarke County,2013-2014,453.13,History
Clarke County,2014-2015,440.76,History
Clarke County,2015-2016,451.16,History
Clarke County,2011-2012,412.16,Math
Clarke County,2012-2013,424.1,Math
Clarke County,2013-2014,420.6,Math
Clarke County,2014-2015,426.64,Math
Clarke County,2015-2016,434.92,Math
Clarke County,2011-2012,464.16,Science
Clarke County,2012-2013,429.23,Science
Clarke County,2013-2014,430.94,Science
Clarke County,2014-2015,432.36,Science
Clarke County,2015-2016,434.08,Science
Colonial Beach,2011-2012,484.13,English (Reading)
Colonial Beach,2012-2013,422.29,English (Reading)
Colonial Beach,2013-2014,429.53,English (Reading)
Colonial Beach,2014-2015,443.92,English (Reading)
Colonial Beach,2015-2016,442.23,English (Reading)
Colonial Beach,2011-2012,478.23,English (Writing)
Colonial Beach,2012-2013,435.63,English (Writing)
Colonial Beach,2013-2014,435.16,English (Writing)
Colonial Beach,2014-2015,428.63,English (Writing)
Colonial Beach,2015-2016,435.79,English (Writing)
Colonial Beach,2011-2012,464.61,History
Colonial Beach,2012-2013,435.38,History
Colonial Beach,2013-2014,437.51,History
Colonial Beach,2014-2015,442.08,History
Colonial Beach,2015-2016,450.27,History
Colonial Beach,2011-2012,400.39,Math
Colonial Beach,2012-2013,426.38,Math
Colonial Beach,2013-2014,397.8,Math
Colonial Beach,2014-2015,406.13,Math
Colonial Beach,2015-2016,418.17,Math
Colonial Beach,2011-2012,447.68,Science
Colonial Beach,2012-2013,414.91,Science
Colonial Beach,2013-2014,419.44,Science
Colonial Beach,2014-2015,430.01,Science
Colonial Beach,2015-2016,436.04,Science
Colonial Heights City,2011-2012,483.53,English (Reading)
Colonial Heights City,2012-2013,430.06,English (Reading)
Colonial Heights City,2013-2014,431.88,English (Reading)
Colonial Heights City,2014-2015,431.74,English (Reading)
Colonial Heights City,2015-2016,431.32,English (Reading)
Colonial Heights City,2011-2012,471.18,English (Writing)
Colonial Heights City,2012-2013,448.06,English (Writing)
Colonial Heights City,2013-2014,437.27,English (Writing)
Colonial Heights City,2014-2015,439.43,English (Writing)
Colonial Heights City,2015-2016,430.08,English (Writing)
Colonial Heights City,2011-2012,465.58,History
Colonial Heights City,2012-2013,432.54,History
Colonial Heights City,2013-2014,463.36,History
Colonial Heights City,2014-2015,463.45,History
Colonial Heights City,2015-2016,463.2,History
Colonial Heights City,2011-2012,411.05,Math
Colonial Heights City,2012-2013,424.55,Math
Colonial Heights City,2013-2014,425.66,Math
Colonial Heights City,2014-2015,427.21,Math
Colonial Heights City,2015-2016,428.35,Math
Colonial Heights City,2011-2012,454.58,Science
Colonial Heights City,2012-2013,434.17,Science
Colonial Heights City,2013-2014,436.62,Science
Colonial Heights City,2014-2015,435.78,Science
Colonial Heights City,2015-2016,439.88,Science
Covington City,2011-2012,489.87,English (Reading)
Covington City,2012-2013,432.02,English (Reading)
Covington City,2013-2014,437.6,English (Reading)
Covington City,2014-2015,446.82,English (Reading)
Covington City,2015-2016,443.6,English (Reading)
Covington City,2011-2012,457.93,English (Writing)
Covington City,2012-2013,457.03,English (Writing)
Covington City,2013-2014,456.5,English (Writing)
Covington City,2014-2015,469.89,English (Writing)
Covington City,2015-2016,473.15,English (Writing)
Covington City,2011-2012,440.6,History
Covington City,2012-2013,430.41,History
Covington City,2013-2014,447.84,History
Covington City,2014-2015,451.74,History
Covington City,2015-2016,446.02,History
Covington City,2011-2012,400.03,Math
Covington City,2012-2013,400.22,Math
Covington City,2013-2014,412.57,Math
Covington City,2014-2015,412.18,Math
Covington City,2015-2016,419.3,Math
Covington City,2011-2012,446.18,Science
Covington City,2012-2013,421.83,Science
Covington City,2013-2014,427.77,Science
Covington City,2014-2015,424.89,Science
Covington City,2015-2016,416.19,Science
Craig County,2011-2012,489.27,English (Reading)
Craig County,2012-2013,441.05,English (Reading)
Craig County,2013-2014,441.4,English (Reading)
Craig County,2014-2015,427.66,English (Reading)
Craig County,2015-2016,433.8,English (Reading)
Craig County,2011-2012,471.81,English (Writing)
Craig County,2012-2013,467.66,English (Writing)
Craig County,2013-2014,441.25,English (Writing)
Craig County,2014-2015,441.06,English (Writing)
Craig County,2015-2016,431.2,English (Writing)
Craig County,2011-2012,445.54,History
Craig County,2012-2013,433.98,History
Craig County,2013-2014,446.08,History
Craig County,2014-2015,445.84,History
Craig County,2015-2016,455.94,History
Craig County,2011-2012,431.79,Math
Craig County,2012-2013,431.03,Math
Craig County,2013-2014,436.64,Math
Craig County,2014-2015,439.01,Math
Craig County,2015-2016,431.45,Math
Craig County,2011-2012,456,Science
Craig County,2012-2013,428.05,Science
Craig County,2013-2014,430.92,Science
Craig County,2014-2015,431.73,Science
Craig County,2015-2016,441.39,Science
Culpeper County,2011-2012,455.16,English (Reading)
Culpeper County,2012-2013,423.82,English (Reading)
Culpeper County,2013-2014,427.42,English (Reading)
Culpeper County,2014-2015,423.79,English (Reading)
Culpeper County,2015-2016,427.89,English (Reading)
Culpeper County,2011-2012,452.04,English (Writing)
Culpeper County,2012-2013,447.23,English (Writing)
Culpeper County,2013-2014,432.92,English (Writing)
Culpeper County,2014-2015,431.93,English (Writing)
Culpeper County,2015-2016,430.54,English (Writing)
Culpeper County,2011-2012,441.61,History
Culpeper County,2012-2013,425.93,History
Culpeper County,2013-2014,447.56,History
Culpeper County,2014-2015,446.31,History
Culpeper County,2015-2016,448.58,History
Culpeper County,2011-2012,410.6,Math
Culpeper County,2012-2013,419.35,Math
Culpeper County,2013-2014,427.55,Math
Culpeper County,2014-2015,428.92,Math
Culpeper County,2015-2016,439.01,Math
Culpeper County,2011-2012,446.12,Science
Culpeper County,2012-2013,423.4,Science
Culpeper County,2013-2014,426.49,Science
Culpeper County,2014-2015,426.27,Science
Culpeper County,2015-2016,429.8,Science
Cumberland County,2011-2012,464.2,English (Reading)
Cumberland County,2012-2013,432.94,English (Reading)
Cumberland County,2013-2014,432.32,English (Reading)
Cumberland County,2014-2015,426.4,English (Reading)
Cumberland County,2015-2016,434.27,English (Reading)
Cumberland County,2011-2012,445.8,English (Writing)
Cumberland County,2012-2013,436.78,English (Writing)
Cumberland County,2013-2014,445.17,English (Writing)
Cumberland County,2014-2015,444.01,English (Writing)
Cumberland County,2015-2016,456.8,English (Writing)
Cumberland County,2011-2012,452.22,History
Cumberland County,2012-2013,438.92,History
Cumberland County,2013-2014,454.12,History
Cumberland County,2014-2015,444.57,History
Cumberland County,2015-2016,449.8,History
Cumberland County,2011-2012,407.07,Math
Cumberland County,2012-2013,413.85,Math
Cumberland County,2013-2014,427.26,Math
Cumberland County,2014-2015,414.22,Math
Cumberland County,2015-2016,430.76,Math
Cumberland County,2011-2012,445.01,Science
Cumberland County,2012-2013,426.37,Science
Cumberland County,2013-2014,433.56,Science
Cumberland County,2014-2015,432.88,Science
Cumberland County,2015-2016,432.31,Science
Danville City,2011-2012,460.95,English (Reading)
Danville City,2012-2013,424.65,English (Reading)
Danville City,2013-2014,429.31,English (Reading)
Danville City,2014-2015,432.55,English (Reading)
Danville City,2015-2016,424.43,English (Reading)
Danville City,2011-2012,458.06,English (Writing)
Danville City,2012-2013,442.23,English (Writing)
Danville City,2013-2014,430.55,English (Writing)
Danville City,2014-2015,436.06,English (Writing)
Danville City,2015-2016,435.34,English (Writing)
Danville City,2011-2012,453.64,History
Danville City,2012-2013,443.09,History
Danville City,2013-2014,448.02,History
Danville City,2014-2015,443.4,History
Danville City,2015-2016,436.71,History
Danville City,2011-2012,426.52,Math
Danville City,2012-2013,424.36,Math
Danville City,2013-2014,423.82,Math
Danville City,2014-2015,422.39,Math
Danville City,2015-2016,428.28,Math
Danville City,2011-2012,443.67,Science
Danville City,2012-2013,422.87,Science
Danville City,2013-2014,423.22,Science
Danville City,2014-2015,425.98,Science
Danville City,2015-2016,424.25,Science
Dickenson County,2011-2012,469.74,English (Reading)
Dickenson County,2012-2013,424.21,English (Reading)
Dickenson County,2013-2014,433.03,English (Reading)
Dickenson County,2014-2015,426.77,English (Reading)
Dickenson County,2015-2016,419.68,English (Reading)
Dickenson County,2011-2012,454.65,English (Writing)
Dickenson County,2012-2013,447.11,English (Writing)
Dickenson County,2013-2014,436.66,English (Writing)
Dickenson County,2014-2015,437.53,English (Writing)
Dickenson County,2015-2016,429.41,English (Writing)
Dickenson County,2011-2012,455.84,History
Dickenson County,2012-2013,440.7,History
Dickenson County,2013-2014,447.93,History
Dickenson County,2014-2015,446.78,History
Dickenson County,2015-2016,459.25,History
Dickenson County,2011-2012,407.92,Math
Dickenson County,2012-2013,410.68,Math
Dickenson County,2013-2014,424.76,Math
Dickenson County,2014-2015,421.93,Math
Dickenson County,2015-2016,429.32,Math
Dickenson County,2011-2012,450.53,Science
Dickenson County,2012-2013,426.87,Science
Dickenson County,2013-2014,431.16,Science
Dickenson County,2014-2015,434.94,Science
Dickenson County,2015-2016,440.38,Science
Dinwiddie County,2011-2012,449.99,English (Reading)
Dinwiddie County,2012-2013,419.93,English (Reading)
Dinwiddie County,2013-2014,414.1,English (Reading)
Dinwiddie County,2014-2015,418.45,English (Reading)
Dinwiddie County,2015-2016,419.17,English (Reading)
Dinwiddie County,2011-2012,447.98,English (Writing)
Dinwiddie County,2012-2013,438.21,English (Writing)
Dinwiddie County,2013-2014,420.06,English (Writing)
Dinwiddie County,2014-2015,429.22,English (Writing)
Dinwiddie County,2015-2016,428.21,English (Writing)
Dinwiddie County,2011-2012,455.2,History
Dinwiddie County,2012-2013,430.95,History
Dinwiddie County,2013-2014,448.1,History
Dinwiddie County,2014-2015,452.83,History
Dinwiddie County,2015-2016,453.08,History
Dinwiddie County,2011-2012,399.39,Math
Dinwiddie County,2012-2013,408.04,Math
Dinwiddie County,2013-2014,416.07,Math
Dinwiddie County,2014-2015,411.91,Math
Dinwiddie County,2015-2016,429.15,Math
Dinwiddie County,2011-2012,443.97,Science
Dinwiddie County,2012-2013,419.78,Science
Dinwiddie County,2013-2014,413.68,Science
Dinwiddie County,2014-2015,418.64,Science
Dinwiddie County,2015-2016,421.81,Science
Essex County,2011-2012,470.77,English (Reading)
Essex County,2012-2013,427.9,English (Reading)
Essex County,2013-2014,428.15,English (Reading)
Essex County,2014-2015,427.3,English (Reading)
Essex County,2015-2016,438.43,English (Reading)
Essex County,2011-2012,458.96,English (Writing)
Essex County,2012-2013,435.68,English (Writing)
Essex County,2013-2014,437.54,English (Writing)
Essex County,2014-2015,431.52,English (Writing)
Essex County,2015-2016,447.76,English (Writing)
Essex County,2011-2012,444.8,History
Essex County,2012-2013,424.68,History
Essex County,2013-2014,432.59,History
Essex County,2014-2015,416.65,History
Essex County,2015-2016,427.42,History
Essex County,2011-2012,405.36,Math
Essex County,2012-2013,412.27,Math
Essex County,2013-2014,403.41,Math
Essex County,2014-2015,415.25,Math
Essex County,2015-2016,409.45,Math
Essex County,2011-2012,453.3,Science
Essex County,2012-2013,426.68,Science
Essex County,2013-2014,419.75,Science
Essex County,2014-2015,415.71,Science
Essex County,2015-2016,412.77,Science
Fairfax County,2011-2012,492.81,English (Reading)
Fairfax County,2012-2013,439.76,English (Reading)
Fairfax County,2013-2014,442.05,English (Reading)
Fairfax County,2014-2015,442.42,English (Reading)
Fairfax County,2015-2016,441.45,English (Reading)
Fairfax County,2011-2012,484.76,English (Writing)
Fairfax County,2012-2013,467.06,English (Writing)
Fairfax County,2013-2014,457.9,English (Writing)
Fairfax County,2014-2015,458.97,English (Writing)
Fairfax County,2015-2016,461.87,English (Writing)
Fairfax County,2011-2012,474.78,History
Fairfax County,2012-2013,451.75,History
Fairfax County,2013-2014,472.26,History
Fairfax County,2014-2015,465.21,History
Fairfax County,2015-2016,467.15,History
Fairfax County,2011-2012,440.38,Math
Fairfax County,2012-2013,439.88,Math
Fairfax County,2013-2014,448.16,Math
Fairfax County,2014-2015,448.47,Math
Fairfax County,2015-2016,449.31,Math
Fairfax County,2011-2012,458.58,Science
Fairfax County,2012-2013,439.32,Science
Fairfax County,2013-2014,439.83,Science
Fairfax County,2014-2015,440.62,Science
Fairfax County,2015-2016,441.91,Science
Falls Church City,2011-2012,521.98,English (Reading)
Falls Church City,2012-2013,458.8,English (Reading)
Falls Church City,2013-2014,465.43,English (Reading)
Falls Church City,2014-2015,462.25,English (Reading)
Falls Church City,2015-2016,455.99,English (Reading)
Falls Church City,2011-2012,513.38,English (Writing)
Falls Church City,2012-2013,497.44,English (Writing)
Falls Church City,2013-2014,496.17,English (Writing)
Falls Church City,2014-2015,496.48,English (Writing)
Falls Church City,2015-2016,483.32,English (Writing)
Falls Church City,2011-2012,479.83,History
Falls Church City,2012-2013,464.49,History
Falls Church City,2013-2014,482.35,History
Falls Church City,2014-2015,486.59,History
Falls Church City,2015-2016,482.65,History
Falls Church City,2011-2012,454.55,Math
Falls Church City,2012-2013,457.46,Math
Falls Church City,2013-2014,465.81,Math
Falls Church City,2014-2015,459.19,Math
Falls Church City,2015-2016,457.18,Math
Falls Church City,2011-2012,481.86,Science
Falls Church City,2012-2013,463.3,Science
Falls Church City,2013-2014,461.4,Science
Falls Church City,2014-2015,458.81,Science
Falls Church City,2015-2016,452.93,Science
Fauquier County,2011-2012,469.57,English (Reading)
Fauquier County,2012-2013,429.49,English (Reading)
Fauquier County,2013-2014,426.01,English (Reading)
Fauquier County,2014-2015,426.18,English (Reading)
Fauquier County,2015-2016,428.63,English (Reading)
Fauquier County,2011-2012,460.48,English (Writing)
Fauquier County,2012-2013,455.89,English (Writing)
Fauquier County,2013-2014,438.41,English (Writing)
Fauquier County,2014-2015,434.65,English (Writing)
Fauquier County,2015-2016,439.27,English (Writing)
Fauquier County,2011-2012,459.33,History
Fauquier County,2012-2013,440.53,History
Fauquier County,2013-2014,455.2,History
Fauquier County,2014-2015,456.37,History
Fauquier County,2015-2016,451.48,History
Fauquier County,2011-2012,422.37,Math
Fauquier County,2012-2013,424.64,Math
Fauquier County,2013-2014,427.28,Math
Fauquier County,2014-2015,431.72,Math
Fauquier County,2015-2016,428.46,Math
Fauquier County,2011-2012,451.48,Science
Fauquier County,2012-2013,429.7,Science
Fauquier County,2013-2014,428.47,Science
Fauquier County,2014-2015,431.19,Science
Fauquier County,2015-2016,432.7,Science
Floyd County,2011-2012,483.58,English (Reading)
Floyd County,2012-2013,432.53,English (Reading)
Floyd County,2013-2014,429.04,English (Reading)
Floyd County,2014-2015,428.03,English (Reading)
Floyd County,2015-2016,434.88,English (Reading)
Floyd County,2011-2012,469.24,English (Writing)
Floyd County,2012-2013,432.28,English (Writing)
Floyd County,2013-2014,421.45,English (Writing)
Floyd County,2014-2015,433.89,English (Writing)
Floyd County,2015-2016,431.02,English (Writing)
Floyd County,2011-2012,469.48,History
Floyd County,2012-2013,442.04,History
Floyd County,2013-2014,453.07,History
Floyd County,2014-2015,454.78,History
Floyd County,2015-2016,447.51,History
Floyd County,2011-2012,422.23,Math
Floyd County,2012-2013,421.26,Math
Floyd County,2013-2014,423.38,Math
Floyd County,2014-2015,426.7,Math
Floyd County,2015-2016,431.54,Math
Floyd County,2011-2012,460.99,Science
Floyd County,2012-2013,436.18,Science
Floyd County,2013-2014,425.48,Science
Floyd County,2014-2015,425.54,Science
Floyd County,2015-2016,426.13,Science
Fluvanna County,2011-2012,483.47,English (Reading)
Fluvanna County,2012-2013,441.47,English (Reading)
Fluvanna County,2013-2014,438.7,English (Reading)
Fluvanna County,2014-2015,432.33,English (Reading)
Fluvanna County,2015-2016,440.55,English (Reading)
Fluvanna County,2011-2012,470.62,English (Writing)
Fluvanna County,2012-2013,463.04,English (Writing)
Fluvanna County,2013-2014,450.15,English (Writing)
Fluvanna County,2014-2015,440.34,English (Writing)
Fluvanna County,2015-2016,460.33,English (Writing)
Fluvanna County,2011-2012,448.19,History
Fluvanna County,2012-2013,435.04,History
Fluvanna County,2013-2014,450.62,History
Fluvanna County,2014-2015,442.75,History
Fluvanna County,2015-2016,447.87,History
Fluvanna County,2011-2012,434.66,Math
Fluvanna County,2012-2013,438.01,Math
Fluvanna County,2013-2014,431.63,Math
Fluvanna County,2014-2015,430.07,Math
Fluvanna County,2015-2016,435.75,Math
Fluvanna County,2011-2012,459.69,Science
Fluvanna County,2012-2013,435.73,Science
Fluvanna County,2013-2014,434.66,Science
Fluvanna County,2014-2015,440.59,Science
Fluvanna County,2015-2016,440.8,Science
Franklin City,2011-2012,459.7,English (Reading)
Franklin City,2012-2013,419.74,English (Reading)
Franklin City,2013-2014,413.44,English (Reading)
Franklin City,2014-2015,419.1,English (Reading)
Franklin City,2015-2016,417.26,English (Reading)
Franklin City,2011-2012,460.36,English (Writing)
Franklin City,2012-2013,453.5,English (Writing)
Franklin City,2013-2014,424.73,English (Writing)
Franklin City,2014-2015,415.95,English (Writing)
Franklin City,2015-2016,428.97,English (Writing)
Franklin City,2011-2012,429.79,History
Franklin City,2012-2013,418.86,History
Franklin City,2013-2014,440.4,History
Franklin City,2014-2015,458.87,History
Franklin City,2015-2016,454.2,History
Franklin City,2011-2012,386.22,Math
Franklin City,2012-2013,395.69,Math
Franklin City,2013-2014,409.57,Math
Franklin City,2014-2015,412.67,Math
Franklin City,2015-2016,414.22,Math
Franklin City,2011-2012,423.56,Science
Franklin City,2012-2013,419.83,Science
Franklin City,2013-2014,424.52,Science
Franklin City,2014-2015,437.5,Science
Franklin City,2015-2016,434.59,Science
Franklin County,2011-2012,468.38,English (Reading)
Franklin County,2012-2013,426.01,English (Reading)
Franklin County,2013-2014,424.16,English (Reading)
Franklin County,2014-2015,430.63,English (Reading)
Franklin County,2015-2016,429.09,English (Reading)
Franklin County,2011-2012,454.21,English (Writing)
Franklin County,2012-2013,442.44,English (Writing)
Franklin County,2013-2014,426.22,English (Writing)
Franklin County,2014-2015,420.61,English (Writing)
Franklin County,2015-2016,408.42,English (Writing)
Franklin County,2011-2012,475.21,History
Franklin County,2012-2013,434.65,History
Franklin County,2013-2014,471.17,History
Franklin County,2014-2015,467.78,History
Franklin County,2015-2016,462.37,History
Franklin County,2011-2012,430.86,Math
Franklin County,2012-2013,426.98,Math
Franklin County,2013-2014,431.69,Math
Franklin County,2014-2015,438.65,Math
Franklin County,2015-2016,442.35,Math
Franklin County,2011-2012,454.48,Science
Franklin County,2012-2013,432.03,Science
Franklin County,2013-2014,432.98,Science
Franklin County,2014-2015,433.11,Science
Franklin County,2015-2016,433.77,Science
Frederick County,2011-2012,472.03,English (Reading)
Frederick County,2012-2013,428.12,English (Reading)
Frederick County,2013-2014,425.53,English (Reading)
Frederick County,2014-2015,425.62,English (Reading)
Frederick County,2015-2016,433.07,English (Reading)
Frederick County,2011-2012,461.15,English (Writing)
Frederick County,2012-2013,441,English (Writing)
Frederick County,2013-2014,431.65,English (Writing)
Frederick County,2014-2015,431.76,English (Writing)
Frederick County,2015-2016,440.23,English (Writing)
Frederick County,2011-2012,465.29,History
Frederick County,2012-2013,449.19,History
Frederick County,2013-2014,457.4,History
Frederick County,2014-2015,454.47,History
Frederick County,2015-2016,457.21,History
Frederick County,2011-2012,416.35,Math
Frederick County,2012-2013,419.68,Math
Frederick County,2013-2014,431.32,Math
Frederick County,2014-2015,432.14,Math
Frederick County,2015-2016,436.19,Math
Frederick County,2011-2012,447.88,Science
Frederick County,2012-2013,425.71,Science
Frederick County,2013-2014,427.98,Science
Frederick County,2014-2015,434.95,Science
Frederick County,2015-2016,430.76,Science
Fredericksburg City,2011-2012,490.44,English (Reading)
Fredericksburg City,2012-2013,436.33,English (Reading)
Fredericksburg City,2013-2014,432.29,English (Reading)
Fredericksburg City,2014-2015,430.3,English (Reading)
Fredericksburg City,2015-2016,422.32,English (Reading)
Fredericksburg City,2011-2012,479.82,English (Writing)
Fredericksburg City,2012-2013,460.34,English (Writing)
Fredericksburg City,2013-2014,447.7,English (Writing)
Fredericksburg City,2014-2015,446.45,English (Writing)
Fredericksburg City,2015-2016,433.36,English (Writing)
Fredericksburg City,2011-2012,452.26,History
Fredericksburg City,2012-2013,439.78,History
Fredericksburg City,2013-2014,446.06,History
Fredericksburg City,2014-2015,443.34,History
Fredericksburg City,2015-2016,442.76,History
Fredericksburg City,2011-2012,418.75,Math
Fredericksburg City,2012-2013,423.28,Math
Fredericksburg City,2013-2014,435.95,Math
Fredericksburg City,2014-2015,435.27,Math
Fredericksburg City,2015-2016,436.65,Math
Fredericksburg City,2011-2012,450.58,Science
Fredericksburg City,2012-2013,429.76,Science
Fredericksburg City,2013-2014,433.95,Science
Fredericksburg City,2014-2015,429.43,Science
Fredericksburg City,2015-2016,426.51,Science
Galax City,2011-2012,498.59,English (Reading)
Galax City,2012-2013,446.26,English (Reading)
Galax City,2013-2014,447.14,English (Reading)
Galax City,2014-2015,449.48,English (Reading)
Galax City,2015-2016,439.2,English (Reading)
Galax City,2011-2012,461.32,English (Writing)
Galax City,2012-2013,436.31,English (Writing)
Galax City,2013-2014,432.39,English (Writing)
Galax City,2014-2015,421.1,English (Writing)
Galax City,2015-2016,425.45,English (Writing)
Galax City,2011-2012,445.23,History
Galax City,2012-2013,436.64,History
Galax City,2013-2014,440.59,History
Galax City,2014-2015,455.31,History
Galax City,2015-2016,435.27,History
Galax City,2011-2012,412.49,Math
Galax City,2012-2013,418.67,Math
Galax City,2013-2014,422.36,Math
Galax City,2014-2015,423.51,Math
Galax City,2015-2016,423.27,Math
Galax City,2011-2012,460.81,Science
Galax City,2012-2013,434.29,Science
Galax City,2013-2014,440.36,Science
Galax City,2014-2015,432.93,Science
Galax City,2015-2016,429.06,Science
Giles County,2011-2012,472.9,English (Reading)
Giles County,2012-2013,426.06,English (Reading)
Giles County,2013-2014,422.11,English (Reading)
Giles County,2014-2015,431.97,English (Reading)
Giles County,2015-2016,433.55,English (Reading)
Giles County,2011-2012,438.83,English (Writing)
Giles County,2012-2013,417.07,English (Writing)
Giles County,2013-2014,426.83,English (Writing)
Giles County,2014-2015,429.82,English (Writing)
Giles County,2015-2016,434.81,English (Writing)
Giles County,2011-2012,457.36,History
Giles County,2012-2013,436.82,History
Giles County,2013-2014,460.26,History
Giles County,2014-2015,457.47,History
Giles County,2015-2016,458.18,History
Giles County,2011-2012,408.63,Math
Giles County,2012-2013,412.96,Math
Giles County,2013-2014,425.03,Math
Giles County,2014-2015,436.45,Math
Giles County,2015-2016,431.87,Math
Giles County,2011-2012,457.44,Science
Giles County,2012-2013,435.17,Science
Giles County,2013-2014,439.28,Science
Giles County,2014-2015,443.73,Science
Giles County,2015-2016,441.8,Science
Gloucester County,2011-2012,480.97,English (Reading)
Gloucester County,2012-2013,437.85,English (Reading)
Gloucester County,2013-2014,435.79,English (Reading)
Gloucester County,2014-2015,434.82,English (Reading)
Gloucester County,2015-2016,432.86,English (Reading)
Gloucester County,2011-2012,471.03,English (Writing)
Gloucester County,2012-2013,447.72,English (Writing)
Gloucester County,2013-2014,448.36,English (Writing)
Gloucester County,2014-2015,433.7,English (Writing)
Gloucester County,2015-2016,431.83,English (Writing)
Gloucester County,2011-2012,450.76,History
Gloucester County,2012-2013,431,History
Gloucester County,2013-2014,450.52,History
Gloucester County,2014-2015,453.98,History
Gloucester County,2015-2016,452.32,History
Gloucester County,2011-2012,413.62,Math
Gloucester County,2012-2013,414.19,Math
Gloucester County,2013-2014,410.66,Math
Gloucester County,2014-2015,418.89,Math
Gloucester County,2015-2016,424.62,Math
Gloucester County,2011-2012,450.82,Science
Gloucester County,2012-2013,426.3,Science
Gloucester County,2013-2014,426.44,Science
Gloucester County,2014-2015,428.33,Science
Gloucester County,2015-2016,430.17,Science
Goochland County,2011-2012,489.75,English (Reading)
Goochland County,2012-2013,431.65,English (Reading)
Goochland County,2013-2014,431.94,English (Reading)
Goochland County,2014-2015,441.94,English (Reading)
Goochland County,2015-2016,439.02,English (Reading)
Goochland County,2011-2012,466.31,English (Writing)
Goochland County,2012-2013,449.62,English (Writing)
Goochland County,2013-2014,440.59,English (Writing)
Goochland County,2014-2015,438.55,English (Writing)
Goochland County,2015-2016,428.01,English (Writing)
Goochland County,2011-2012,464.68,History
Goochland County,2012-2013,440.05,History
Goochland County,2013-2014,463.74,History
Goochland County,2014-2015,470.87,History
Goochland County,2015-2016,470.51,History
Goochland County,2011-2012,414.41,Math
Goochland County,2012-2013,416.31,Math
Goochland County,2013-2014,416.82,Math
Goochland County,2014-2015,419.43,Math
Goochland County,2015-2016,420.65,Math
Goochland County,2011-2012,455.97,Science
Goochland County,2012-2013,429.27,Science
Goochland County,2013-2014,429.48,Science
Goochland County,2014-2015,427.13,Science
Goochland County,2015-2016,427.39,Science
Grayson County,2011-2012,480.09,English (Reading)
Grayson County,2012-2013,422.82,English (Reading)
Grayson County,2013-2014,428.01,English (Reading)
Grayson County,2014-2015,427.22,English (Reading)
Grayson County,2015-2016,429.86,English (Reading)
Grayson County,2011-2012,444.9,English (Writing)
Grayson County,2012-2013,437.21,English (Writing)
Grayson County,2013-2014,421.74,English (Writing)
Grayson County,2014-2015,430.65,English (Writing)
Grayson County,2015-2016,417.53,English (Writing)
Grayson County,2011-2012,453,History
Grayson County,2012-2013,439.82,History
Grayson County,2013-2014,449.38,History
Grayson County,2014-2015,448.95,History
Grayson County,2015-2016,453.75,History
Grayson County,2011-2012,407.31,Math
Grayson County,2012-2013,416.2,Math
Grayson County,2013-2014,410.5,Math
Grayson County,2014-2015,423.83,Math
Grayson County,2015-2016,417.18,Math
Grayson County,2011-2012,450.56,Science
Grayson County,2012-2013,424.94,Science
Grayson County,2013-2014,427.8,Science
Grayson County,2014-2015,430.53,Science
Grayson County,2015-2016,429.53,Science
Greene County,2011-2012,484.54,English (Reading)
Greene County,2012-2013,431.09,English (Reading)
Greene County,2013-2014,428.02,English (Reading)
Greene County,2014-2015,428.58,English (Reading)
Greene County,2015-2016,429.14,English (Reading)
Greene County,2011-2012,478.67,English (Writing)
Greene County,2012-2013,439.09,English (Writing)
Greene County,2013-2014,435.67,English (Writing)
Greene County,2014-2015,435.55,English (Writing)
Greene County,2015-2016,444.71,English (Writing)
Greene County,2011-2012,438.99,History
Greene County,2012-2013,443.47,History
Greene County,2013-2014,443.11,History
Greene County,2014-2015,447.01,History
Greene County,2015-2016,444.06,History
Greene County,2011-2012,426.93,Math
Greene County,2012-2013,423.08,Math
Greene County,2013-2014,440.04,Math
Greene County,2014-2015,439.68,Math
Greene County,2015-2016,439.64,Math
Greene County,2011-2012,462.93,Science
Greene County,2012-2013,443.64,Science
Greene County,2013-2014,444.1,Science
Greene County,2014-2015,439.5,Science
Greene County,2015-2016,436.34,Science
Greensville County,2011-2012,471.7,English (Reading)
Greensville County,2012-2013,428.74,English (Reading)
Greensville County,2013-2014,432.21,English (Reading)
Greensville County,2014-2015,426.95,English (Reading)
Greensville County,2015-2016,425.19,English (Reading)
Greensville County,2011-2012,457.84,English (Writing)
Greensville County,2012-2013,446.54,English (Writing)
Greensville County,2013-2014,434.38,English (Writing)
Greensville County,2014-2015,425.5,English (Writing)
Greensville County,2015-2016,428.45,English (Writing)
Greensville County,2011-2012,454.08,History
Greensville County,2012-2013,441.72,History
Greensville County,2013-2014,446.71,History
Greensville County,2014-2015,452.47,History
Greensville County,2015-2016,449.31,History
Greensville County,2011-2012,416.83,Math
Greensville County,2012-2013,420.49,Math
Greensville County,2013-2014,419.45,Math
Greensville County,2014-2015,416.91,Math
Greensville County,2015-2016,407.39,Math
Greensville County,2011-2012,464.05,Science
Greensville County,2012-2013,441.58,Science
Greensville County,2013-2014,440.54,Science
Greensville County,2014-2015,437.53,Science
